Workclass,Education,Marital_Status,Relationship
 Without-pay, 7th-8th, Widowed, Unmarried
 Without-pay, HS-grad, Never-married, Own-child
 Without-pay, HS-grad, Never-married, Own-child
 Without-pay, HS-grad, Never-married, Own-child
 Without-pay, HS-grad, Married-civ-spouse, Wife
 Without-pay, HS-grad, Married-civ-spouse, Husband
 Without-pay, HS-grad, Married-civ-spouse, Wife
 Without-pay, HS-grad, Never-married, Own-child
 Without-pay, Assoc-acdm, Married-civ-spouse, Husband
 Without-pay, Some-college, Married-civ-spouse, Own-child
 Without-pay, HS-grad, Married-civ-spouse, Husband
 Without-pay, Some-college, Married-spouse-absent, Unmarried
 Without-pay, HS-grad, Married-civ-spouse, Husband
 Without-pay, Some-college, Married-civ-spouse, Wife
 State-gov, Bachelors, Never-married, Not-in-family
 State-gov, Bachelors, Married-civ-spouse, Husband
 State-gov, Some-college, Married-civ-spouse, Husband
 State-gov, Assoc-voc, Married-civ-spouse, Husband
 State-gov, Bachelors, Married-civ-spouse, Husband
 State-gov, Masters, Widowed, Unmarried
 State-gov, HS-grad, Married-civ-spouse, Husband
 State-gov, Bachelors, Married-civ-spouse, Husband
 State-gov, Doctorate, Married-civ-spouse, Husband
 State-gov, HS-grad, Divorced, Unmarried
 State-gov, HS-grad, Married-civ-spouse, Husband
 State-gov, Some-college, Never-married, Not-in-family
 State-gov, Assoc-acdm, Married-civ-spouse, Husband
 State-gov, HS-grad, Married-civ-spouse, Husband
 State-gov, Some-college, Never-married, Own-child
 State-gov, Assoc-voc, Married-civ-spouse, Husband
 State-gov, Bachelors, Married-civ-spouse, Husband
 State-gov, Bachelors, Married-civ-spouse, Husband
 State-gov, Some-college, Married-civ-spouse, Husband
 State-gov, HS-grad, Divorced, Unmarried
 State-gov, Bachelors, Married-civ-spouse, Wife
 State-gov, Bachelors, Never-married, Not-in-family
 State-gov, Bachelors, Married-civ-spouse, Husband
 State-gov, Some-college, Separated, Not-in-family
 State-gov, Some-college, Never-married, Unmarried
 State-gov, Some-college, Married-civ-spouse, Husband
 State-gov, 11th, Never-married, Own-child
 State-gov, Bachelors, Never-married, Not-in-family
 State-gov, HS-grad, Never-married, Own-child
 State-gov, Bachelors, Married-civ-spouse, Husband
 State-gov, Bachelors, Married-civ-spouse, Husband
 State-gov, Bachelors, Married-civ-spouse, Husband
 State-gov, Some-college, Married-spouse-absent, Other-relative
 State-gov, Some-college, Married-civ-spouse, Husband
 State-gov, Doctorate, Divorced, Own-child
 State-gov, HS-grad, Married-civ-spouse, Wife
 State-gov, Masters, Married-civ-spouse, Husband
 State-gov, HS-grad, Married-civ-spouse, Wife
 State-gov, Assoc-acdm, Never-married, Own-child
 State-gov, Doctorate, Married-civ-spouse, Wife
 State-gov, Assoc-voc, Married-civ-spouse, Wife
 State-gov, Bachelors, Never-married, Not-in-family
 State-gov, Some-college, Married-civ-spouse, Husband
 State-gov, HS-grad, Married-civ-spouse, Husband
 State-gov, Masters, Married-civ-spouse, Wife
